"","x"
"216","0000035ti=38349cl=0db=184"
"217","0000035ti=75542cl=0db=184"
"218","0000035ti=84337cl=9db=184"
"219","0000035ti=8976cl=90db=184"
"220","0000036ti=175027cl=7db=184"
"221","0000036ti=3014cl=7db=184"
"222","0000036ti=31291cl=0db=184"
"223","0000036ti=38349cl=1db=184"
"224","0000036ti=4144cl=54db=184"
"225","0000036ti=71022cl=2db=184"
"226","0000036ti=72801cl=2db=184"
"227","0000036ti=75391cl=0db=184"
"228","0000036ti=8332cl=10db=184"
"229","0000036ti=8976cl=93db=184"
"230","0000036ti=96541cl=1db=184"
"231","0000036ti=9975cl=0db=184"
"232","0000037ti=157608cl=0db=184"
"233","0000037ti=158449cl=4db=184"
"234","0000037ti=169640cl=4db=184"
"235","0000037ti=28983cl=119db=184"
"236","0000037ti=30862cl=5db=184"
"237","0000037ti=319042cl=5db=184"
"238","0000037ti=3298cl=1db=184"
"239","0000037ti=8293cl=9db=184"
"240","0000038ti=169067cl=0db=184"
"241","0000038ti=3051cl=1db=184"
"242","0000038ti=30725cl=7db=184"
"243","0000038ti=33389cl=2db=184"
"244","0000038ti=33554cl=34db=184"
"245","0000038ti=39172cl=0db=184"
"246","0000038ti=50671cl=7db=184"
"247","0000038ti=5257cl=8db=184"
"248","0000038ti=543769cl=0db=184"
"249","0000038ti=83226cl=26db=184"
"250","0000038ti=87864cl=26db=184"
"251","0000038ti=9194cl=4db=184"
"252","0000039ti=169619cl=0db=184"
"253","0000039ti=4381cl=21db=184"
"254","0000039ti=5957cl=0db=184"
"255","0000040ti=314294cl=47db=184"
"256","0000040ti=34384cl=0db=184"
"257","0000041ti=123353cl=15db=184"
"258","0000041ti=293110cl=0db=184"
"259","0000041ti=318529cl=17db=184"
"260","0000041ti=43277cl=14db=184"
"261","0000042ti=158420cl=5db=184"
"262","0000042ti=193545cl=52db=184"
"263","0000042ti=233875cl=9db=184"
"264","0000042ti=3195cl=6db=184"
"265","0000042ti=8570cl=25db=184"
"266","0000042ti=9721cl=2db=184"
"267","0000043ti=123364cl=3db=184"
"268","0000043ti=45817cl=1db=184"
"269","0000043ti=8397cl=10db=184"
"270","0000044ti=403666cl=2db=184"
"271","0000044ti=41093cl=0db=184"
"272","0000044ti=47021cl=6db=184"
"273","0000044ti=58880cl=6db=184"
"274","0000044ti=9443cl=64db=184"
"275","0000045ti=36287cl=0db=184"
"276","0000045ti=40568cl=9db=184"
"277","0000045ti=45183cl=4db=184"
"278","0000045ti=703251cl=4db=184"
"279","0000046ti=504493cl=2db=184"
"280","0000047ti=216365cl=1db=184"
"281","0000047ti=218339cl=1db=184"
"282","0000047ti=3629cl=18db=184"
"283","0000047ti=9277cl=5db=184"
"284","0000048ti=114658cl=80db=184"
"285","0000048ti=41212cl=2db=184"
"286","0000048ti=5502cl=0db=184"
"287","0000049ti=112993cl=1db=184"
"288","0000050ti=235595cl=0db=184"
"289","0000050ti=65582cl=0db=184"
"290","0000051ti=23066cl=0db=184"
"291","0000051ti=3536cl=36db=184"
"292","0000052ti=118632cl=6db=184"
"293","0000052ti=217032cl=0db=184"
"294","0000052ti=42310cl=1db=184"
"295","0000052ti=43831cl=6db=184"
"296","0000052ti=50370cl=10db=184"
"297","0000053ti=37948cl=0db=184"
"298","0000053ti=543769cl=1db=184"
"299","0000053ti=95182cl=73db=184"
"300","0000054ti=3208cl=58db=184"
"301","0000055ti=30459cl=8db=184"
"302","0000055ti=31314cl=6db=184"
"303","0000056ti=685122cl=4db=184"
"304","0000056ti=77225cl=7db=184"
"305","0000056ti=80642cl=4db=184"
"306","0000056ti=80643cl=4db=184"
"307","0000058ti=158449cl=3db=184"
"308","0000058ti=4883cl=2db=184"
"309","0000059ti=3313cl=12db=184"
"310","0000060ti=102810cl=9db=184"
"311","0000060ti=7080cl=54db=184"
"312","0000061ti=55731cl=1db=184"
"313","0000062ti=10015cl=4db=184"
"314","0000063ti=107870cl=1db=184"
"315","0000063ti=41218cl=10db=184"
"316","0000063ti=43750cl=2db=184"
"317","0000063ti=70405cl=4db=184"
"318","0000064ti=30458cl=8db=184"
"319","0000064ti=32281cl=6db=184"
"320","0000064ti=58911cl=16db=184"
"321","0000066ti=256680cl=0db=184"
"322","0000067ti=40163cl=21db=184"
"323","0000067ti=50673cl=13db=184"
"324","0000067ti=82617cl=5db=184"
"325","0000069ti=170974cl=3db=184"
"326","0000069ti=404314cl=8db=184"
"327","0000070ti=19952cl=8db=184"
"328","0000072ti=83319cl=6db=184"
"329","0000073ti=42308cl=2db=184"
"330","0000073ti=425404cl=22db=184"
"331","0000074ti=54898cl=1db=184"
"332","0000075ti=212294cl=14db=184"
"333","0000075ti=8091cl=34db=184"
"334","0000076ti=88646cl=4db=184"
"335","0000077ti=323650cl=0db=184"
"336","0000077ti=7402cl=48db=184"
"337","0000078ti=146291cl=0db=184"
"338","0000078ti=146292cl=0db=184"
"339","0000078ti=65355cl=1db=184"
"340","0000078ti=7479cl=34db=184"
"341","0000080ti=239225cl=0db=184"
"342","0000080ti=50729cl=8db=184"
"343","0000081ti=157824cl=2db=184"
"344","0000081ti=58149cl=5db=184"
"345","0000082ti=404429cl=2db=184"
"346","0000083ti=214598cl=18db=184"
"347","0000083ti=217046cl=16db=184"
"348","0000084ti=3043cl=2db=184"
"349","0000085ti=25227cl=14db=184"
"350","0000085ti=5475cl=28db=184"
"351","0000085ti=6132cl=4db=184"
"352","0000086ti=41085cl=3db=184"
"353","0000086ti=4640cl=12db=184"
"354","0000086ti=65186cl=2db=184"
"355","0000087ti=43457cl=7db=184"
"356","0000088ti=158408cl=5db=184"
"357","0000088ti=3646cl=4db=184"
"358","0000088ti=3683cl=4db=184"
"359","0000088ti=405002cl=6db=184"
"360","0000089ti=62702cl=1db=184"
"361","0000090ti=115274cl=4db=184"
"362","0000091ti=318546cl=27db=184"
"363","0000091ti=581389cl=9db=184"
"364","0000092ti=269181cl=0db=184"
"365","0000092ti=319095cl=29db=184"
"366","0000093ti=13348cl=3db=184"
"367","0000093ti=139271cl=33db=184"
"368","0000093ti=452342cl=10db=184"
"369","0000093ti=52627cl=2db=184"
"370","0000093ti=53313cl=2db=184"
"371","0000094ti=232378cl=10db=184"
"372","0000094ti=82721cl=0db=184"
"373","0000094ti=8426cl=15db=184"
"374","0000096ti=8113cl=13db=184"
"375","0000097ti=36151cl=5db=184"
"376","0000097ti=4618cl=59db=184"
"377","0000098ti=183770cl=0db=184"
"378","0000098ti=474995cl=4db=184"
"379","0000098ti=63715cl=2db=184"
"380","0000099ti=3313cl=92db=184"
"381","0000099ti=41086cl=90db=184"
"382","0000100ti=158408cl=2db=184"
"383","0000100ti=241780cl=12db=184"
"384","0000100ti=88747cl=1db=184"
"385","0000101ti=4697cl=2db=184"
"386","0000101ti=8911cl=27db=184"
"387","0000102ti=158424cl=22db=184"
"388","0000102ti=214907cl=13db=184"
"389","0000102ti=235629cl=8db=184"
"390","0000103ti=107842cl=2db=184"
"391","0000105ti=159511cl=30db=184"
"392","0000105ti=163740cl=2db=184"
"393","0000105ti=4200cl=15db=184"
"394","0000105ti=42219cl=1db=184"
"395","0000105ti=4280cl=1db=184"
"396","0000105ti=4281cl=1db=184"
"397","0000105ti=4512cl=0db=184"
"398","0000105ti=5023cl=23db=184"
"399","0000105ti=6962cl=30db=184"
"400","0000105ti=70899cl=10db=184"
"401","0000106ti=4199cl=15db=184"
"402","0000106ti=60186cl=2db=184"
"403","0000106ti=72801cl=0db=184"
"404","0000107ti=10207cl=3db=184"
"405","0000107ti=13442cl=0db=184"
"406","0000107ti=355688cl=2db=184"
"407","0000107ti=7509cl=5db=184"
"408","0000108ti=51800cl=0db=184"
"409","0000108ti=5507cl=3db=184"
"410","0000108ti=6962cl=4db=184"
"411","0000109ti=147430cl=3db=184"
"412","0000109ti=159511cl=4db=184"
"413","0000109ti=219382cl=3db=184"
"414","0000109ti=27819cl=4db=184"
"415","0000109ti=43755cl=81db=184"
"416","0000110ti=102819cl=2db=184"
"417","0000110ti=106263cl=1db=184"
"418","0000110ti=160909cl=2db=184"
"419","0000110ti=191424cl=8db=184"
"420","0000110ti=297313cl=2db=184"
"421","0000110ti=6157cl=740db=184"
"422","0000110ti=62955cl=1db=184"
"423","0000111ti=171638cl=18db=184"
"424","0000111ti=229894cl=1db=184"
"425","0000111ti=3745cl=18db=184"
"426","0000111ti=8515cl=13db=184"
"427","0000112ti=30352cl=12db=184"
"428","0000112ti=3211cl=10db=184"
"429","0000112ti=32456cl=148db=184"
"430","0000112ti=4070cl=374db=184"
"431","0000112ti=50630cl=2db=184"
"432","0000112ti=5475cl=27db=184"
"433","0000112ti=94017cl=3db=184"
"434","0000113ti=205004cl=0db=184"
"435","0000113ti=216294cl=3db=184"
"436","0000114ti=163485cl=1db=184"
"437","0000114ti=75543cl=0db=184"
"438","0000115ti=169859cl=1db=184"
"439","0000116ti=186770cl=7db=184"
"440","0000116ti=3312cl=63db=184"
"441","0000116ti=3313cl=63db=184"
"442","0000116ti=43752cl=4db=184"
"443","0000116ti=58019cl=63db=184"
"444","0000116ti=8572cl=5db=184"
"445","0000117ti=169700cl=4db=184"
"446","0000117ti=43750cl=3db=184"
"447","0000118ti=287187cl=34db=184"
"448","0000118ti=9963cl=23db=184"
"449","0000119ti=154050cl=6db=184"
"450","0000119ti=41945cl=200db=184"
"451","0000119ti=49301cl=5db=184"
"452","0000119ti=6961cl=1db=184"
"453","0000120ti=35038cl=65db=184"
"454","0000120ti=63265cl=22db=184"
"455","0000120ti=8293cl=636db=184"
"456","0000122ti=65207cl=0db=184"
"457","0000122ti=75117cl=8db=184"
"458","0000123ti=65225cl=5db=184"
"459","0000123ti=7402cl=1db=184"
"460","0000124ti=33356cl=6db=184"
"461","0000124ti=44353cl=3db=184"
"462","0000124ti=50671cl=0db=184"
"463","0000125ti=36298cl=6db=184"
