"","x"
"181","0000082ti=56488cl=1db=184"
"182","0000082ti=76176cl=1db=184"
"183","0000084ti=3043cl=2db=184"
"184","0000085ti=5129cl=0db=184"
"185","0000085ti=64388cl=1db=184"
"186","0000086ti=41085cl=3db=184"
"187","0000086ti=7520cl=7db=184"
"188","0000089ti=112252cl=6db=184"
"189","0000090ti=351514cl=4db=184"
"190","0000093ti=113509cl=9db=184"
"191","0000093ti=53313cl=2db=184"
"192","0000098ti=43754cl=88db=184"
"193","0000098ti=9136cl=15db=184"
"194","0000102ti=158424cl=22db=184"
"195","0000102ti=30863cl=4db=184"
"196","0000102ti=388283cl=4db=184"
"197","0000103ti=167180cl=2db=184"
"198","0000104ti=183718cl=6db=184"
"199","0000104ti=388450cl=2db=184"
"200","0000105ti=159511cl=30db=184"
"201","0000105ti=236635cl=0db=184"
"202","0000105ti=42219cl=1db=184"
"203","0000105ti=4280cl=1db=184"
"204","0000105ti=4281cl=1db=184"
"205","0000105ti=50673cl=11db=184"
"206","0000105ti=6962cl=30db=184"
"207","0000105ti=70899cl=10db=184"
"208","0000107ti=10207cl=3db=184"
"209","0000107ti=30449cl=0db=184"
"210","0000029ti=40022cl=9db=184"
"211","0000107ti=7509cl=5db=184"
"212","0000108ti=452284cl=8db=184"
"213","0000109ti=159511cl=4db=184"
"214","0000109ti=214598cl=10db=184"
"215","0000110ti=287187cl=35db=184"
"216","0000110ti=62955cl=1db=184"
"217","0000111ti=127400cl=31db=184"
"218","0000111ti=216706cl=6db=184"
"219","0000111ti=51788cl=2db=184"
"220","0000112ti=27479cl=6db=184"
"221","0000112ti=50630cl=2db=184"
"222","0000112ti=5475cl=27db=184"
"223","0000112ti=85817cl=1db=184"
"224","0000112ti=94017cl=3db=184"
"225","0000113ti=43746cl=29db=184"
"226","0000114ti=586004cl=2db=184"
"227","0000114ti=75543cl=0db=184"
"228","0000116ti=226742cl=8db=184"
"229","0000116ti=3313cl=63db=184"
"230","0000119ti=10206cl=3db=184"
"231","0000119ti=154050cl=6db=184"
"232","0000119ti=33630cl=2db=184"
"233","0000119ti=6961cl=1db=184"
"234","0000121ti=163093cl=1db=184"
"235","0000121ti=374063cl=23db=184"
